Date,Subscription status,Views,source
2025-02-04,Subscribed,0,Subscription Status_Ai-talks-CA
2025-02-05,Subscribed,0,Subscription Status_Ai-talks-CA
2025-02-06,Subscribed,1,Subscription Status_Ai-talks-CA
2025-02-07,Subscribed,2,Subscription Status_Ai-talks-CA
2025-02-08,Subscribed,1,Subscription Status_Ai-talks-CA
2025-02-09,Subscribed,1,Subscription Status_Ai-talks-CA
2025-02-10,Subscribed,1,Subscription Status_Ai-talks-CA
2025-02-11,Subscribed,10,Subscription Status_Ai-talks-CA
2025-02-12,Subscribed,0,Subscription Status_Ai-talks-CA
2025-02-13,Subscribed,8,Subscription Status_Ai-talks-CA
2025-02-14,Subscribed,10,Subscription Status_Ai-talks-CA
2025-02-15,Subscribed,2,Subscription Status_Ai-talks-CA
2025-02-16,Subscribed,4,Subscription Status_Ai-talks-CA
2025-02-17,Subscribed,1,Subscription Status_Ai-talks-CA
2025-02-18,Subscribed,0,Subscription Status_Ai-talks-CA
2025-02-19,Subscribed,3,Subscription Status_Ai-talks-CA
2025-02-20,Subscribed,5,Subscription Status_Ai-talks-CA
2025-02-21,Subscribed,1,Subscription Status_Ai-talks-CA
2025-02-22,Subscribed,1,Subscription Status_Ai-talks-CA
2025-02-23,Subscribed,6,Subscription Status_Ai-talks-CA
2025-02-24,Subscribed,0,Subscription Status_Ai-talks-CA
2025-02-25,Subscribed,6,Subscription Status_Ai-talks-CA
2025-02-26,Subscribed,0,Subscription Status_Ai-talks-CA
2025-02-27,Subscribed,3,Subscription Status_Ai-talks-CA
2025-02-28,Subscribed,9,Subscription Status_Ai-talks-CA
2025-03-01,Subscribed,2,Subscription Status_Ai-talks-CA
2025-03-02,Subscribed,3,Subscription Status_Ai-talks-CA
2025-03-03,Subscribed,0,Subscription Status_Ai-talks-CA
2025-03-04,Subscribed,0,Subscription Status_Ai-talks-CA
2025-03-05,Subscribed,3,Subscription Status_Ai-talks-CA
2025-03-06,Subscribed,0,Subscription Status_Ai-talks-CA
2025-03-07,Subscribed,0,Subscription Status_Ai-talks-CA
2025-03-08,Subscribed,0,Subscription Status_Ai-talks-CA
2025-03-09,Subscribed,2,Subscription Status_Ai-talks-CA
2025-03-10,Subscribed,5,Subscription Status_Ai-talks-CA
2025-03-11,Subscribed,2,Subscription Status_Ai-talks-CA
2025-03-12,Subscribed,6,Subscription Status_Ai-talks-CA
2025-03-13,Subscribed,2,Subscription Status_Ai-talks-CA
2025-03-14,Subscribed,2,Subscription Status_Ai-talks-CA
2025-03-15,Subscribed,0,Subscription Status_Ai-talks-CA
2025-03-16,Subscribed,0,Subscription Status_Ai-talks-CA
2025-03-17,Subscribed,2,Subscription Status_Ai-talks-CA
2025-03-18,Subscribed,6,Subscription Status_Ai-talks-CA
2025-03-19,Subscribed,3,Subscription Status_Ai-talks-CA
2025-03-20,Subscribed,2,Subscription Status_Ai-talks-CA
2025-03-21,Subscribed,0,Subscription Status_Ai-talks-CA
2025-03-22,Subscribed,0,Subscription Status_Ai-talks-CA
2025-03-23,Subscribed,1,Subscription Status_Ai-talks-CA
2025-03-24,Subscribed,3,Subscription Status_Ai-talks-CA
2025-03-25,Subscribed,0,Subscription Status_Ai-talks-CA
2025-03-26,Subscribed,1,Subscription Status_Ai-talks-CA
2025-03-27,Subscribed,2,Subscription Status_Ai-talks-CA
2025-03-28,Subscribed,10,Subscription Status_Ai-talks-CA
2025-03-29,Subscribed,6,Subscription Status_Ai-talks-CA
2025-03-30,Subscribed,7,Subscription Status_Ai-talks-CA
2025-03-31,Subscribed,8,Subscription Status_Ai-talks-CA
2025-04-01,Subscribed,2,Subscription Status_Ai-talks-CA
2025-04-02,Subscribed,3,Subscription Status_Ai-talks-CA
2025-04-03,Subscribed,2,Subscription Status_Ai-talks-CA
2025-04-04,Subscribed,1,Subscription Status_Ai-talks-CA
2025-04-05,Subscribed,0,Subscription Status_Ai-talks-CA
2025-04-06,Subscribed,0,Subscription Status_Ai-talks-CA
2025-04-07,Subscribed,0,Subscription Status_Ai-talks-CA
2025-04-08,Subscribed,4,Subscription Status_Ai-talks-CA
2025-04-09,Subscribed,2,Subscription Status_Ai-talks-CA
2025-04-10,Subscribed,0,Subscription Status_Ai-talks-CA
2025-04-11,Subscribed,6,Subscription Status_Ai-talks-CA
2025-04-12,Subscribed,1,Subscription Status_Ai-talks-CA
2025-04-13,Subscribed,1,Subscription Status_Ai-talks-CA
2025-04-14,Subscribed,3,Subscription Status_Ai-talks-CA
2025-04-15,Subscribed,2,Subscription Status_Ai-talks-CA
2025-04-16,Subscribed,7,Subscription Status_Ai-talks-CA
2025-04-17,Subscribed,1,Subscription Status_Ai-talks-CA
2025-04-18,Subscribed,2,Subscription Status_Ai-talks-CA
2025-04-19,Subscribed,0,Subscription Status_Ai-talks-CA
2025-04-20,Subscribed,2,Subscription Status_Ai-talks-CA
2025-04-21,Subscribed,0,Subscription Status_Ai-talks-CA
2025-04-22,Subscribed,1,Subscription Status_Ai-talks-CA
2025-04-23,Subscribed,0,Subscription Status_Ai-talks-CA
2025-04-24,Subscribed,0,Subscription Status_Ai-talks-CA
2025-04-25,Subscribed,0,Subscription Status_Ai-talks-CA
2025-04-26,Subscribed,0,Subscription Status_Ai-talks-CA
2025-04-27,Subscribed,0,Subscription Status_Ai-talks-CA
2025-04-28,Subscribed,0,Subscription Status_Ai-talks-CA
2025-04-29,Subscribed,0,Subscription Status_Ai-talks-CA
2025-04-30,Subscribed,1,Subscription Status_Ai-talks-CA
2025-05-01,Subscribed,1,Subscription Status_Ai-talks-CA
2025-05-02,Subscribed,1,Subscription Status_Ai-talks-CA
2025-05-03,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-04,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-05,Subscribed,11,Subscription Status_Ai-talks-CA
2025-05-06,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-07,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-08,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-09,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-10,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-11,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-12,Subscribed,1,Subscription Status_Ai-talks-CA
2025-05-13,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-14,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-15,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-16,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-17,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-18,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-19,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-20,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-21,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-22,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-23,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-24,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-25,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-26,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-27,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-28,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-29,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-30,Subscribed,0,Subscription Status_Ai-talks-CA
2025-05-31,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-01,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-02,Subscribed,1,Subscription Status_Ai-talks-CA
2025-06-03,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-04,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-05,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-06,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-07,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-08,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-09,Subscribed,2,Subscription Status_Ai-talks-CA
2025-06-10,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-11,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-12,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-13,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-14,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-15,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-16,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-17,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-18,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-19,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-20,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-21,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-22,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-23,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-24,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-25,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-26,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-27,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-28,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-29,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-30,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-01,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-02,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-03,Subscribed,1,Subscription Status_Ai-talks-CA
2025-07-04,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-05,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-06,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-07,Subscribed,2,Subscription Status_Ai-talks-CA
2025-07-08,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-09,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-10,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-11,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-12,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-13,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-14,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-15,Subscribed,1,Subscription Status_Ai-talks-CA
2025-07-16,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-17,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-18,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-19,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-20,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-21,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-22,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-23,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-24,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-25,Subscribed,1,Subscription Status_Ai-talks-CA
2025-07-26,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-27,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-28,Subscribed,1,Subscription Status_Ai-talks-CA
2025-07-29,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-30,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-31,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-01,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-02,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-03,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-04,Subscribed,1,Subscription Status_Ai-talks-CA
2025-08-05,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-06,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-07,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-08,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-09,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-10,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-11,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-12,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-13,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-14,Subscribed,1,Subscription Status_Ai-talks-CA
2025-08-15,Subscribed,1,Subscription Status_Ai-talks-CA
2025-08-16,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-17,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-18,Subscribed,5,Subscription Status_Ai-talks-CA
2025-08-19,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-20,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-21,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-22,Subscribed,3,Subscription Status_Ai-talks-CA
2025-08-23,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-24,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-25,Subscribed,1,Subscription Status_Ai-talks-CA
2025-08-26,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-27,Subscribed,1,Subscription Status_Ai-talks-CA
2025-08-28,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-29,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-30,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-31,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-01,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-02,Subscribed,1,Subscription Status_Ai-talks-CA
2025-09-03,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-04,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-05,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-06,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-07,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-08,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-09,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-10,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-11,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-12,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-13,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-14,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-15,Subscribed,1,Subscription Status_Ai-talks-CA
2025-09-16,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-17,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-18,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-19,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-20,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-21,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-22,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-23,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-24,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-25,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-26,Subscribed,0,Subscription Status_Ai-talks-CA
2025-02-04,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-02-05,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-02-06,Not subscribed,23,Subscription Status_Ai-talks-CA
2025-02-07,Not subscribed,6,Subscription Status_Ai-talks-CA
2025-02-08,Not subscribed,4,Subscription Status_Ai-talks-CA
2025-02-09,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-02-10,Not subscribed,0,Subscription Status_Ai-talks-CA
